company,url,source_name,raw_text,Date
BP,https://www.theguardian.com/world/2009/nov/11/colombia-farmers-sue-bp-pipeline,theguardian.com,,
BP,https://www.theguardian.com/business/2009/aug/23/london-tar-sands-climate-protest,theguardian.com,,
BP,https://www.theguardian.com/business/2010/apr/15/bp-oil-sands-open-pit-mining,theguardian.com,,
BP,https://www.nytimes.com/2009/12/19/business/energy-environment/19oil.html,nytimes.com,,
BP,https://www.theguardian.com/business/2013/apr/10/bp-agm-pay-row,theguardian.com,,
BP,https://web.archive.org/web/20200802152233/https://uk.reuters.com/article/uk-bp-alaska-congress/bp-admits-budget-a-factor-in-alaska-spill-idUKN1619278420070516,web.archive.org,,
BP,https://www.theguardian.com/world/us-embassy-cables-documents/172998,theguardian.com,,
BP,https://www.theguardian.com/environment/2007/may/01/energy.business,theguardian.com,,
BP,https://web.archive.org/web/20200802010429/https://uk.reuters.com/article/bp-field-resumption/bp-partially-resumes-production-at-azeri-platform-idUKLN67920520081223,web.archive.org,,
BP,https://www.nytimes.com/2014/09/05/business/bp-negligent-in-2010-oil-spill-us-judge-rules.html,nytimes.com,,
BP,https://www.ft.com/content/8c72b150-5934-4953-8d7d-9d607698de67,ft.com,,
BP,https://www.theguardian.com/business/2011/feb/02/bp-investigation-allegedly-manipulating-gas-market,theguardian.com,,
Gazprom,https://www.theguardian.com/environment/2024/apr/04/just-57-companies-linked-to-80-of-greenhouse-gas-emissions-since-2016,theguardian.com,,
Gazprom,https://www.abc.net.au/news/2014-04-16/natural-gas-is-putins-political-and-economical-weapon/5394030,abc.net.au,,
Gazprom,https://www.bbc.com/news/world-europe-58896847,bbc.com,,
Gazprom,https://www.bbc.com/news/world-europe-50875935,bbc.com,,
Gazprom,https://www.economist.com/the-economist-explains/2021/07/14/why-nord-stream-2-is-the-worlds-most-controversial-energy-project,economist.com,,
Gazprom,https://www.theguardian.com/environment/2013/sep/24/russia-greenpeace-piracy-oil-rig-protest,theguardian.com,,
Gazprom,https://www.theguardian.com/sustainable-business/total-purchase-arctic-oil-greenpeace-offshore-exploration,theguardian.com,,
Gazprom,https://www.theguardian.com/tv-and-radio/article/2024/jun/09/on-thin-ice-putin-v-greenpeace-review-a-jaw-droppingly-unforgettable-real-life-tale,theguardian.com,,
Gazprom,https://www.cnbc.com/2019/12/18/us-sanctions-on-nord-stream-2-pipeline.html,cnbc.com,,
Gazprom,https://edition.cnn.com/2022/03/15/business/russia-europe-sanctions-energy/index.html,edition.cnn.com,,
Gazprom,https://www.upstreamonline.com/politics/uk-slams-sanctions-on-gazprom-board-members/2-1-1410476,upstreamonline.com,,
Gazprom,https://www.cnbc.com/2022/06/30/russias-gazprom-cancels-dividend-for-first-time-since-1998.html,cnbc.com,,
Eni,https://web.archive.org/web/20120917000925/http://af.reuters.com/article/ugandaNews/idAFLDE74N1W320110524?sp=true,web.archive.org,,
Eni,https://www.theguardian.com/world/2018/mar/04/oil-deal-corruption-trial-in-italy-is-wake-up-call-for-industry,theguardian.com,,
Eni,https://www.wsj.com/world/europe/shell-eni-found-not-guilty-of-corruption-in-nigeria-oil-case-11615997909,wsj.com,,
Eni,https://www.theguardian.com/sustainable-business/2017/jul/10/100-fossil-fuel-companies-investors-responsible-71-global-emissions-cdp-study-climate-change,theguardian.com,,
Occidental Petroleum,https://www.theguardian.com/sustainable-business/2017/jul/10/100-fossil-fuel-companies-investors-responsible-71-global-emissions-cdp-study-climate-change,theguardian.com,,
Occidental Petroleum,https://www.justice.gov/archive/opa/pr/Pre_96/December95/638.txt.html,justice.gov,,
Occidental Petroleum,https://www.csb.gov/csb-issues-final-report-on-oleum-release-from-indspec-chemical-corp-that-forced-thousands-to-evacuate-in-october-2008-report-cites-use-of-pump-power-supply-that-lacked-safeguards/,csb.gov,,
Occidental Petroleum,https://www.theguardian.com/environment/2015/mar/05/indigenous-peruvians-amazon-pollution-settlement-us-oil-occidental,theguardian.com,,
Occidental Petroleum,https://web.archive.org/web/20240121051029/https://www.reuters.com/legal/litigation/drivers-sue-us-shale-oil-producers-over-alleged-price-fixing-scheme-2024-01-16/,web.archive.org,,
